Id Client,Nom Client,Adresse Siège,Raison Sociale,Secteur d'activité,Contact Client,Gestionnaire commercial,Fax,Téléphone,Email
CLI-0001,Medi Partners,"246, Boulevard Hassan II, Fès",Medi Partners SARL,Industrie,Youssef El Amrani,Imane Alaoui,+212 545623371,+212 691966075,contact@medipartners.ma
CLI-0002,Atlas Partners,"36, Boulevard Al Massira, Fès",Atlas Partners SA,Santé,Nadia Alaoui,Sara El Amrani,+212 564081272,+212 648020725,contact@atlaspartners.ma
CLI-0003,Argan Digital,"79, Boulevard Anfa, Rabat",Argan Digital SA,Technologie,Youssef Bennis,Imane Alaoui,+212 524275808,+212 632378155,contact@argandigital.ma
CLI-0004,Delta Industries,"88, Boulevard Mohammed V, Kénitra",Delta Industries SARL,Assurance,Amine Idrissi,Omar Idrissi,+212 574819043,+212 678810905,contact@deltaindustries.ma
CLI-0005,Delta Solutions,"180, Boulevard Al Massira, Fès",Delta Solutions SA,Banque,Nadia Chraibi,Omar Idrissi,+212 570250933,+212 663561502,contact@deltasolutions.ma
CLI-0006,Maghreb Services,"60, Boulevard Zerktouni, Fès",Maghreb Services SA,Technologie,Amine Alaoui,Imane Alaoui,+212 540724873,+212 664382590,contact@maghrebservices.ma
CLI-0007,Horizon Services,"156, Boulevard Al Massira, Meknès",Horizon Services SARL,Industrie,Sara Chraibi,Imane Alaoui,+212 540216153,+212 628027099,contact@horizonservices.ma
CLI-0008,Zenith Partners,"57, Boulevard Hassan II, Casablanca",Zenith Partners SA,Santé,Amine El Amrani,Omar Idrissi,+212 555836320,+212 653835675,contact@zenithpartners.ma
CLI-0009,Maghreb Solutions,"150, Boulevard Mohammed V, Rabat",Maghreb Solutions SARL,Retail,Amine El Amrani,Omar Idrissi,+212 581712497,+212 658865917,contact@maghrebsolutions.ma
CLI-0010,Sahara Logistics,"242, Boulevard Hassan II, Meknès",Sahara Logistics SA,Santé,Nadia Alaoui,Youssef Bennis,+212 535144267,+212 646402187,contact@saharalogistics.ma
CLI-0011,Zenith Industries,"115, Boulevard Zerktouni, Casablanca",Zenith Industries SA,Industrie,Amine Alaoui,Youssef Bennis,+212 548969448,+212 602071138,contact@zenithindustries.ma
CLI-0012,Sahara Group,"185, Boulevard Mohammed V, Rabat",Sahara Group SA,Banque,Nadia Idrissi,Omar Idrissi,+212 550618054,+212 611292208,contact@saharagroup.ma
CLI-0013,Rif Partners,"96, Boulevard Al Massira, Casablanca",Rif Partners SARL,Retail,Youssef Chraibi,Imane Alaoui,+212 543954368,+212 678216669,contact@rifpartners.ma
CLI-0014,Casatech Logistics,"112, Boulevard Zerktouni, Kénitra",Casatech Logistics SA,Industrie,Sara Chraibi,Youssef Bennis,+212 524786524,+212 651117260,contact@casatechlogistics.ma
CLI-0015,Royal Industries,"66, Boulevard Al Massira, Marrakech",Royal Industries SA,Banque,Youssef Chraibi,Sara El Amrani,+212 578686965,+212 658304097,contact@royalindustries.ma
CLI-0016,Atlas Digital,"200, Boulevard Al Massira, Marrakech",Atlas Digital SARL,Santé,Nadia Chraibi,Sara El Amrani,+212 588439228,+212 673078773,contact@atlasdigital.ma
CLI-0017,Maghreb Digital,"54, Boulevard Anfa, Marrakech",Maghreb Digital SA,Éducation,Sara Idrissi,Omar Idrissi,+212 598607679,+212 631448920,contact@maghrebdigital.ma
CLI-0018,Sahara Partners,"144, Boulevard Al Massira, Kénitra",Sahara Partners SARL,Hôtellerie,Sara Chraibi,Youssef Bennis,+212 541746708,+212 608707142,contact@saharapartners.ma
