Id Site Client,#Id Client,Coordonnées GPS,Type housing,Adresse Site Client,Ville,ZI,Parenté,Classification,Niv Accessibilité,Contact Site client
SC-00001,CLI-0001,"28.362517, -12.866848",Entrepôt,"140, Avenue Al Qods",Kénitra,Agropole,Succursale,Standard,Accès réglementé,Salma Fassi - +212 636544069
SC-00002,CLI-0002,"29.433516, -11.617407",Centre commercial,"8, Avenue Al Qods",Tanger,Technopark,Filiale,Critique,Moyenne,Karim Tazi - +212 656847232
SC-00003,CLI-0003,"34.779282, -4.749831",Usine,"186, Avenue Al Qods",Rabat,Technopark,Agence,Standard,Difficile,Karim Fassi - +212 615538065
SC-00004,CLI-0004,"33.177586, -9.403448",Immeuble,"135, Avenue Hassan II",Marrakech,Atlantic Free Zone,Site technique,Prioritaire,Accès réglementé,Mehdi Amrani - +212 671584684
SC-00005,CLI-0004,"30.230036, -5.74666",Entrepôt,"117, Avenue Anfa",Tanger,Atlantic Free Zone,Succursale,Prioritaire,Difficile,Karim Fassi - +212 612724850
SC-00006,CLI-0004,"29.602105, -5.49257",Villa,"187, Avenue Hassan II",Agadir,Technopark,Succursale,Prioritaire,Facile,Mehdi Amrani - +212 621389447
SC-00007,CLI-0005,"30.241385, -6.291742",Centre commercial,"160, Avenue Hassan II",Rabat,Atlantic Free Zone,Agence,Critique,Accès réglementé,Salma Tazi - +212 649778401
SC-00008,CLI-0006,"31.779111, -9.404898",Immeuble,"36, Avenue Hassan II",Fès,Casa Nearshore,Agence,Critique,Accès réglementé,Salma Tazi - +212 631929723
SC-00009,CLI-0006,"28.584701, -10.967347",Bureau,"147, Avenue Anfa",Rabat,Atlantic Free Zone,Succursale,Prioritaire,Facile,Karim Tazi - +212 692872411
SC-00010,CLI-0006,"35.327174, -2.70505",Bureau,"133, Avenue Mohammed VI",Casablanca,ZI Sidi Bernoussi,Site technique,Standard,Difficile,Salma Fassi - +212 660307827
SC-00011,CLI-0007,"29.922479, -9.510089",Usine,"77, Avenue Al Qods",Kénitra,ZI Sidi Bernoussi,Filiale,Prioritaire,Moyenne,Karim Tazi - +212 688337971
SC-00012,CLI-0008,"27.131973, -8.097359",Immeuble,"161, Avenue Al Qods",Marrakech,Technopark,Filiale,Standard,Moyenne,Hind Fassi - +212 617358835
SC-00013,CLI-0008,"31.025985, -3.018586",Bureau,"147, Avenue Hassan II",Agadir,Casa Nearshore,Filiale,Critique,Difficile,Hind Tazi - +212 661279995
SC-00014,CLI-0009,"28.268153, -8.923326",Datacenter,"38, Avenue Al Qods",Tanger,ZI Ain Sebaa,Agence,Critique,Accès réglementé,Karim Fassi - +212 614087518
SC-00015,CLI-0010,"29.589075, -3.189068",Bureau,"106, Avenue Anfa",Rabat,Centre-ville,Filiale,Prioritaire,Facile,Mehdi Tazi - +212 652235174
SC-00016,CLI-0010,"28.852315, -1.85248",Datacenter,"138, Avenue Anfa",Fès,Technopark,Siège principal,Prioritaire,Accès réglementé,Salma Berrada - +212 616762710
SC-00017,CLI-0011,"29.451816, -4.139939",Usine,"82, Avenue Al Qods",Meknès,Technopark,Succursale,Critique,Accès réglementé,Hind Fassi - +212 654476791
SC-00018,CLI-0011,"30.626309, -4.999347",Villa,"24, Avenue Al Qods",Meknès,Tanger Free Zone,Site technique,Critique,Facile,Karim Fassi - +212 668113013
SC-00019,CLI-0011,"31.579112, -7.313474",Centre commercial,"183, Avenue Hassan II",Agadir,Tanger Free Zone,Agence,Critique,Facile,Hind Tazi - +212 630401244
SC-00020,CLI-0012,"29.63961, -11.924677",Datacenter,"40, Avenue Anfa",Agadir,ZI Ain Sebaa,Succursale,Prioritaire,Difficile,Hind Amrani - +212 692005256
SC-00021,CLI-0013,"32.410726, -6.330225",Entrepôt,"159, Avenue Mohammed VI",Kénitra,Technopark,Filiale,Standard,Facile,Hind Tazi - +212 632987637
SC-00022,CLI-0014,"31.124184, -1.065574",Entrepôt,"185, Avenue Hassan II",Tanger,Casa Nearshore,Siège principal,Prioritaire,Difficile,Hind Tazi - +212 622170113
